06671484-n	ādeśa	adeśa
04359589-n	ādhāra
05119714-n	adhika
10325013-n	adhikārapuruṣa
10231515-n	adhipati
08518505-n	adhirājya
00889472-n	adhyāya
00892861-n	adhyāya
06396142-n	adhyāya
05868051-n	ādi	adi
09359803-n	adri
01215392-n	adyan-adyan
10123844-n	agraśekhara
07946851-n	ahita
10055847-n	ahita
15155220-n	aho
00033020-n	ajar
00893955-n	ajar
06634376-n	ajar
04849241-n	ajĕṅ	hajĕṅ
10231515-n	aji
07168131-n	ājñā
07279687-n	ājñā
14940100-n	ajur
10142391-n	akaki
06333653-n	ākhya
06371413-n	ākhyāna
06514093-n	ākhyāna
07221094-n	ākhyāna
06715223-n	ākrośa
05217168-n	ākṛti
05930736-n	ākṛti
05933246-n	ākṛti
08510666-n	ala
03169390-n	alaṅkara	alĕṅkara, laṅkara, lĕṅkara
03169390-n	alaṅkṛta
09284015-n	alas-alasan
03234306-n	ālekhana
03876519-n	ālekhana
04092609-n	ali-ali
04841358-n	ālocita	locita
05784831-n	ālocita	locita
05822746-n	ālocita	locita
10366966-n	amaṅ
02728440-n	ambara
02818832-n	ambe
04256520-n	ambe
04980008-n	ambö	ambĕ
14845743-n	ambu
09247410-n	ambuda
09505418-n	amṛta
15121625-n	anāgatakāla
02742753-n	anak niṅ sañjata
04008634-n	anak niṅ sañjata
10753442-n	anak thāni
10755257-n	anakḍara
10084295-n	anakrabi
10780632-n	anakrabi
10787470-n	anakrabi
09444783-n	anakṣatra
07840804-n	aṇḍa
03632277-n	aṇḍa
09270894-n	aṇḍabhūmi
01846331-n	aṇḍah
01503061-n	aṇḍaja
09270894-n	aṇḍamaṇḍala
09270894-n	aṇḍapada
01056411-n	aṇḍĕg
05133107-n	aṇḍĕṅ	aṇḍĕṅ-aṇḍĕṅ
13941125-n	aṇḍĕṅ	aṇḍĕṅ-aṇḍĕṅ
13983515-n	andhakāra
01503061-n	aṇḍoja
01203676-n	aṅgā
07484265-n	aṅgā
10787470-n	aṅganā
08215801-n	aṅgaparirakṣa
08215801-n	aṅgarakṣa	aṅgarakṣaka
04317420-n	aṅgas
07257815-n	aṅgas
03589791-n	aṅgikā
05567217-n	aṅguṣṭha
11525955-n	aṅin	haṅin
07279687-n	añjana
02084071-n	añjiṅ
00042757-n	aṅkat
00021265-n	anna
05980875-n	anta
09436708-n	antarāla
08565894-n	antya
10582154-n	anucara
06689297-n	anujñāta
14496710-n	anukrama
10150071-n	anurakṣa
14845743-n	āpah
15166191-n	aparāhṇa
14845743-n	āpas
13878634-n	apasagi
07223170-n	apawāda
13480848-n	api
14845743-n	apsu
04092609-n	apus-apus
04181228-n	apus-apus
04181228-n	apusan
13480848-n	apuy
13480848-n	apwi
14845743-n	āpya
00021265-n	ara	hara
00786195-n	ārambhana
00795720-n	ārambhana
09284015-n	araṇya
09359803-n	ardi
00786195-n	ārĕmbha	ārambha
